country_name,city_name,nominal_num_bikes,cityhall,launch_date,closed_date,timezone,operator,operator_name,system_type,system_website,technology
Croatia,Metković,0,,2017-05-06,,Europe/Zagreb,,Grad Metković,,https://www.nextbike.hr/en/metkovic/,nextbike
Croatia,Osijek,102,,2021-12-01,,Europe/Zagreb,Sustav javnih bicikala d.o.o.,nextbike Osijek,Dock-based,https://www.nextbike.hr/en/osijek/,JSON/Nextbike
Croatia,Pitomača,0,,2019-04-25,,Europe/Zagreb,,nextbike,Dock-based,https://www.nextbike.hr/en/pitomaca/,Nextbike
Croatia,Poreč,0,,,,Europe/Zagreb,,Porec bike share,,https://www.porecbikeshare.com/,nextbike
Croatia,Šibenik,20,,,,Europe/Zagreb,,Grad Šibenik,,http://www.nextbike.hr/,nextbike
Croatia,Sisak,0,,,,Europe/Zagreb,,Grad Sisak,,http://www.nextbike.hr/,nextbike
Croatia,Slavonski Brod,0,,,,Europe/Zagreb,,Grad Slavonski Brod,,https://www.nextbike.hr/en/slavonskibrod/,nextbike
Croatia,Split,27,,,,Europe/Zagreb,nextbike,Sjedni I Vozi,Dock-based,https://www.nextbike.hr/en/split/,nextbike
Croatia,Velika Gorica,0,,,,Europe/Zagreb,,Grad Velika Gorica,,http://www.nextbike.hr/,nextbike
Croatia,Vinkovci,15,,2021-12-01,,Europe/Zagreb,Sustav javnih bicikala d.o.o.,Nextbike,Dock-based,https://www.nextbike.hr/hr/vinkovci/,Nextbike
Croatia,Vukovar,0,,,,Europe/Zagreb,,Grad Vukovar,,https://www.nextbike.hr/en/vukovar/,nextbike
Croatia,Zadar,0,,,,Europe/Zagreb,,Grad Zadar,,http://www.nextbike.hr/,nextbike
Croatia,Zagreb,0,,,,Europe/Zagreb,,nextbike Croatia,,http://www.nextbike.hr/,nextbike
Cyprus,Limassol,93,,,,Europe/Athens,,nextbike Cyprus,,http://www.nextbike.com.cy/,nextbike
Cyprus,Nicosia,132,,,,Europe/Athens,Nextbike,Nextbike Nicosia,,https://www.nextbike.com.cy/el/nicosia/,Nextbike
Czech Republic,Jihlava,84,,2022-04-01,,Europe/Prague,nextbike Czech Republic s.r.o.,Nextbike,Dock-based,https://www.nextbikeczech.com/en/mesto/jihlava-2/,Nextbike
Czechia,Beroun,67,,,,Europe/Prague,nextbike Czech Republic s.r.o.,Nextbike,Hybrid,https://en.nextbikeczech.com/berounsko/,Nextbike
Czechia,Brno,100,Brno,2020-03-15,,Europe/Prague,nextbike Czech Republic s.r.o.,Nextbike,Hybrid,https://en.nextbikeczech.com/brno/,Nextbike
Czechia,Frýdek-Místek,0,,2021-03-31,,Europe/Prague,nextbike,nextbike,Dock-based,https://www.nextbikeczech.com/frydek-mistek/,nextbike
Czechia,Havířov,45,City of Havířov,2019-06-18,,Europe/Prague,nextbike Czech Republic s.r.o.,nextbike Havířov,Dock-based,https://nextbikeczech.com/en/havirov/,Nextbike
Czechia,Hradec Králové,86,,,,Europe/Prague,nextbike Czech Republic s.r.o.,Nextbike,Hybrid,https://en.nextbikeczech.com/hradeckralove/,Nextbike
Czechia,Kladno,82,,,,Europe/Prague,nextbike Czech Republic s.r.o.,Nextbike,Hybrid,https://en.nextbikeczech.com/kladno/,Nextbike
Czechia,Krnov,59,,2021-05-01,,Europe/Prague,nextbike Czech Republic sro,nextbike,Dock-based,https://www.nextbikeczech.com/krnov/,Nextbike
Czechia,Mladá Boleslav and Mnichovo Hradiště,174,,,,Europe/Prague,nextbike Czech Republic s.r.o.,Nextbike,Hybrid,https://en.nextbikeczech.com/mladaboleslav/,Nextbike
Czechia,Olomouc,288,,2020-03-06,,Europe/Prague,nextbike Czech Republic s.r.o.,Nextbike,Hybrid,https://en.nextbikeczech.com/olomouc/,Nextbike
Czechia,Opava,82,,,,Europe/Prague,nextbike Czech Republic s.r.o.,Nextbike,Hybrid,https://en.nextbikeczech.com/opava/,Nextbike
Czechia,Ostrava,520,,,,Europe/Prague,,nextbike,Dock-based,,Nextbike
Czechia,Pardubice,92,,,,Europe/Prague,nextbike Czech Republic s.r.o.,Nextbike,Hybrid,https://en.nextbikeczech.com/pardubice/,Nextbike
Czechia,Písek,84,,2021-05-01,,Europe/Prague,nextbike Czech Republic sro,nextbike,Dock-based,https://www.nextbikeczech.com/pisek/,Nextbike
Czechia,Prague and Říčany,792,Prague,,,Europe/Prague,nextbike Czech Republic s.r.o.,Nextbike,Hybrid,https://en.nextbikeczech.com/praha/,Nextbike
Czechia,Prostějov,0,,,,Europe/Prague,nextbike Czech Republic s.r.o.,nextbike,Dock-based,https://www.nextbikeczech.com/en/mesto/prostejov-en/,Nextbike
Czechia,Rychnovsko,40,,2021-05-01,,Europe/Prague,nextbike Czech Republic sro,nextbike,Dock-based,https://www.nextbikeczech.com/rychnovsko/,Nextbike
