country_name,city_name,nominal_num_bikes,cityhall,launch_date,closed_date,timezone,operator,operator_name,system_type,system_website,technology
USA,Carrollton,50,,,,America/New_York,Zagster,Carrollton,Dock-based,http://zagster.com/carrollton/,Zagster
USA,Charleston,703,Charleston,2017-05-30,,America/New_York,Gotcha Bike,Holy Spokes,Hybrid,https://charlestonbikeshare.com/,SoBi/Gotcha
USA,Charlotte,178,,,,America/New_York,,Charlotte B-cycle,, http://charlotte.bcycle.com/,
USA,Chattanooga,297,City of Chattanooga,2012-07-23,,America/New_York,Shift Transit (PBSC),Bike Chattanooga,Dock-based,http://www.bikechattanooga.com/,PBSC
USA,Chicago,5696,Chicago Department of Transportation,2013-07-01,,America/Chicago,Motivate,Divvy,Dock-based,https://www.divvybikes.com/,PBSC
USA,Chicago (JUMP),0,,,,America/Chicago,Uber,JUMP,Dockless,https://uk.jump.com/gb/en/cities/chicago/,SoBi
USA,Cincinnati,368,,,,America/New_York,,Red Bike,, http://www.cincyredbike.org/,
USA,College Park,50,,,,America/New_York,Zagster,mBike,Dock-based,http://zagster.com/mbike/,Zagster
USA,Colorado Springs,120,City of Colorado Springs,2018-06-26,,America/Denver,Downtown Ventures,PikeRide,Hybrid,http://pikeride.org/faq/,BCycle
USA,Columbia (Howard County),100,,2017-07-06,,America/New_York,Corps Logistics,Howard County Bikeshare,Dock-based,https://www.howardcountybikeshare.com/,Bewegen
USA,Columbia SC,72,,2018-10-08,,America/New_York,Bewegen,Blue Bike,Dock-based,https://www.bluebikesc.com/,Bewegen
USA,Columbus,315,City of Columbus,2013-07-30,,America/New_York,Motivate,CoGo,Dock-based,https://www.cogobikeshare.com/,PBSC
USA,Conway,50,,,,America/Chicago,Zagster,Conway,Dock-based,http://zagster.com/conway/,Zagster
USA,Dayton,180,Greater Dayton RTA,2015-05-05,2020-03-23,America/New_York,Bike Miami Valley,Link,Dock-based,https://www.linkdayton.org/,Drop
USA,Dearborn,50,,,,America/Chicago,Zagster,Dearborn,Dock-based,http://zagster.com/dearborn/,Zagster
USA,Denver,613,City and County of Denver,2010-04-22,,America/Denver,Lyft,Lyft,Hub-based,https://www.lyft.com/bikes/denver-co,Lyft
USA,Denver Meridian Campus,50,,,,America/Chicago,Zagster,Meridian International,Dock-based,http://zagster.com/meridian/,Zagster
USA,Des Moines,115,,,,America/Chicago,,Des Moines B-cycle,, http://desmoines.bcycle.com/,
USA,Detroit,358,City of Detroit,2017-05-23,,America/Detroit,Shift Transit (PBSC),MoGo,Dock-based,https://mogodetroit.org/,PBSC
USA,East Bay,942,San Francisco Bay Area Metropolitan Transportation Commission,2013-08-29,,America/Los_Angeles,Lyft,Bay Wheels,Dock-based,https://www.lyft.com/bikes/bay-wheels,PBSC
USA,El Paso,110,Camino Real Regional Mobility Authority,2015-09-14,,America/Denver,B-cycle,SunCycle,Dock-based,https://elpaso.bcycle.com/,B-cycle
USA,Encinitas,52,,2022-01-05,,America/Los_Angeles,Encinitas BCycle,Encinitas BCycle,Dock-based,https://encinitas.bcycle.com/,BCycle/TREK
USA,Forest Preserves of Cook County,37,Forest Preserve District of Cook County,2018-05-30,,America/Chicago,Hopr,Hopr,Virtual zone dockless,https://gohopr.com/chicagoland/,Hopr
USA,Fort Worth,311,,,,America/Chicago,,Fort Worth B-cycle,, http://fortworth.bcycle.com/,
USA,Greater Boston,2682,City of Boston (& others),2011-07-28,,America/New_York,Motivate,Bluebikes,Dock-based,https://www.bluebikes.com/,8D
